CONCURSO,F_1_9,F_10_19,F_20_29,F_30_39,F_40_49,F_50_56
3665,1,2,1,0,1,1
3664,2,1,0,2,0,1
3663,0,1,1,2,2,0
3662,1,1,1,1,0,2
3661,0,0,2,2,1,1
3660,1,2,0,1,1,1
3659,2,0,0,0,4,0
3658,1,0,1,2,2,0
3657,1,2,1,0,0,2
3656,0,2,2,0,1,1
3655,1,1,0,2,0,2
3654,0,0,1,4,1,0
3653,1,2,0,0,3,0
3652,1,0,0,2,3,0
3651,1,0,1,0,2,2
3650,0,0,1,4,1,0
3649,1,1,2,1,0,1
3648,1,0,0,3,1,1
3647,1,2,1,1,1,0
3646,0,1,1,3,1,0
3645,1,2,2,0,1,0
3644,1,0,0,4,1,0
3643,2,1,1,0,1,1
3642,1,2,1,1,1,0
3641,1,0,1,3,0,1
3640,0,1,1,2,2,0
3639,0,2,1,1,0,2
3638,2,1,1,2,0,0
3637,0,2,2,1,1,0
3636,3,0,2,1,0,0
3635,2,0,2,0,1,1
3634,0,1,0,1,3,1
3633,0,0,1,1,3,1
3632,0,3,0,1,1,1
3631,2,1,1,2,0,0
3630,2,2,0,1,1,0
3629,1,0,2,2,1,0
3628,0,3,1,1,0,1
3627,2,0,1,1,0,2
3626,2,1,2,1,0,0
3625,1,1,2,2,0,0
3624,1,0,2,2,0,1
3623,0,2,2,1,1,0
3622,2,1,1,0,2,0
3621,1,1,1,0,3,0
3620,1,2,1,0,1,1
3619,2,0,0,3,1,0
3618,1,2,1,0,2,0
3617,2,1,0,1,1,1
3616,1,1,0,2,1,1
3615,0,2,0,2,2,0
3614,1,1,2,1,1,0
3613,0,2,0,1,1,2
3612,1,2,0,2,1,0
3611,0,1,2,1,1,1
3610,1,1,0,1,3,0
3609,2,2,1,1,0,0
3608,1,1,0,2,2,0
3607,2,0,0,1,2,1
3606,1,3,1,1,0,0
3605,3,1,1,1,0,0
3604,2,0,1,0,1,2
3603,0,1,1,2,2,0
3602,1,0,1,1,2,1
3601,0,0,1,1,3,1
3600,1,1,0,2,1,1
3599,2,0,1,0,1,2
3598,0,1,3,0,0,2
3597,1,1,3,0,1,0
3596,1,1,1,1,1,1
3595,3,0,0,1,1,1
3594,0,1,0,2,1,2
3593,1,0,2,2,0,1
3592,1,1,1,1,1,1
3591,0,0,1,2,1,2
3590,2,0,1,0,3,0
3589,0,0,1,3,1,1
3588,2,1,0,0,2,1
3587,0,1,3,0,2,0
3586,2,2,0,2,0,0
3585,1,1,1,1,1,1
3584,1,2,0,1,2,0
3583,0,2,1,1,0,2
3582,1,0,1,1,2,1
3581,0,1,1,2,1,1
3580,1,1,2,0,1,1
3579,0,2,1,1,1,1
3578,0,1,1,1,3,0
3577,1,2,1,0,2,0
3576,1,1,1,2,1,0
3575,0,0,2,3,1,0
3574,0,2,1,1,2,0
3573,0,0,2,0,2,2
3572,1,1,3,0,1,0
3571,1,2,2,0,1,0
3570,2,0,0,2,1,1
3569,2,0,1,1,2,0
3568,0,1,2,3,0,0
3567,0,0,0,1,4,1
3566,2,0,1,0,1,2
3565,2,2,1,0,1,0
3564,2,1,0,1,0,2
3563,1,1,0,0,4,0
3562,1,0,0,3,1,1
3561,0,1,2,1,1,1
3560,1,0,1,3,1,0
3559,0,3,0,2,1,0
3558,0,1,3,2,0,0
3557,2,1,1,0,0,2
3556,2,1,2,1,0,0
3555,1,1,1,2,0,1
3554,1,2,0,1,2,0
3553,0,0,2,0,1,3
3552,2,1,0,1,0,2
3551,0,0,1,1,2,2
3550,3,0,1,0,1,1
3549,1,0,1,1,1,2
3548,1,2,1,0,1,1
3547,1,0,1,2,1,1
3546,0,1,1,0,1,3
3545,0,1,1,1,1,2
3544,0,2,1,0,2,1
3543,1,1,1,0,1,2
3542,1,0,0,2,2,1
3541,0,1,0,3,2,0
3540,2,1,1,0,1,1
3539,0,2,2,1,0,1
3538,3,0,3,0,0,0
3537,1,2,0,1,1,1
3536,1,1,2,2,0,0
3535,2,0,2,1,0,1
3534,1,1,1,1,1,1
3533,1,3,0,1,1,0
3532,2,1,1,1,1,0
3531,2,0,1,1,2,0
3530,0,1,1,2,2,0
3529,2,2,0,0,0,2
3528,1,1,1,1,1,1
3527,0,1,2,1,0,2
3526,2,0,0,1,1,2
3525,0,2,1,2,0,1
3524,0,1,0,1,3,1
3523,1,1,2,1,0,1
3522,1,1,0,1,3,0
3521,0,1,0,1,2,2
3520,0,0,1,1,3,1
3519,1,1,2,1,0,1
3518,3,1,2,0,0,0
3517,2,1,1,1,0,1
3516,0,2,0,1,2,1
3515,1,0,3,0,1,1
3514,1,2,2,0,1,0
3513,0,1,0,2,3,0
3512,0,0,3,2,0,1
3511,3,1,1,0,0,1
3510,1,1,0,1,3,0
3509,2,1,1,2,0,0
3508,1,0,2,2,1,0
3507,0,1,1,3,1,0
3506,1,4,0,0,0,1
3505,2,0,0,2,0,2
3504,2,0,1,1,1,1
3503,0,0,2,3,1,0
3502,1,1,0,3,0,1
3501,1,0,1,1,2,1
3500,0,1,3,1,1,0
3499,0,1,3,0,0,2
3498,0,0,2,1,0,3
3497,1,1,1,1,2,0
