CONCURSO,F_1_9,F_10_19,F_20_29,F_30_39,F_40_49,F_50_56
2957,2,1,1,1,1,0
2956,1,2,1,1,0,1
2955,2,0,0,1,1,2
2954,0,1,3,1,0,1
2953,1,1,1,2,1,0
2952,1,2,2,0,1,0
2951,0,1,3,0,1,1
2950,2,0,2,1,1,0
2949,0,2,0,1,1,2
2948,1,1,1,0,3,0
2947,1,1,0,2,0,2
2946,1,1,1,2,0,1
2945,1,0,2,1,1,1
2944,2,1,0,0,1,2
2943,2,0,0,2,1,1
2942,1,1,1,0,3,0
2941,0,0,3,1,1,1
2940,0,0,0,2,3,1
2939,1,0,0,2,2,1
2938,0,1,2,2,1,0
2937,1,1,1,2,0,1
2936,0,2,2,1,1,0
2935,0,1,2,1,1,1
2934,1,3,0,2,0,0
2933,1,0,0,2,2,1
2932,0,0,3,1,1,1
2931,1,0,2,2,1,0
2930,1,1,0,2,1,1
2929,2,1,0,1,1,1
2928,1,1,1,1,0,2
2927,2,0,0,1,2,1
2926,1,0,1,2,1,1
2925,1,1,1,1,2,0
2924,0,2,1,1,1,1
2923,0,2,1,1,1,1
2922,1,1,2,0,0,2
2921,2,1,1,1,0,1
2920,0,2,1,0,3,0
2919,0,2,1,2,1,0
2918,1,1,0,2,2,0
2917,0,3,0,0,1,2
2916,2,3,1,0,0,0
2915,1,0,2,1,1,1
2914,3,0,1,1,1,0
2913,1,1,2,1,0,1
2912,1,1,1,1,2,0
2911,1,0,0,2,1,2
2910,0,2,2,2,0,0
2909,1,2,2,0,1,0
2908,0,2,0,1,2,1
2907,1,1,1,3,0,0
2906,1,1,1,1,1,1
2905,0,3,0,1,1,1
2904,2,1,1,0,0,2
2903,1,0,3,0,1,1
2902,1,0,1,1,3,0
2901,1,2,0,0,0,3
2900,0,0,2,2,2,0
2899,2,1,1,2,0,0
2898,0,1,2,1,1,1
2897,0,2,2,0,2,0
2896,1,1,1,2,1,0
2895,2,2,1,1,0,0
2894,2,1,1,1,0,1
2893,0,2,1,0,1,2
2892,1,1,0,3,1,0
2891,2,1,1,1,0,1
2890,1,1,1,2,1,0
2889,1,0,0,2,3,0
2888,2,1,0,1,1,1
2887,2,2,0,1,1,0
2886,1,1,2,0,1,1
2885,3,1,0,1,1,0
2884,2,0,0,1,1,2
2883,2,0,1,2,0,1
2882,2,1,1,0,1,1
2881,0,1,1,0,3,1
2880,2,0,1,2,1,0
2879,0,0,1,1,3,1
2878,0,2,2,1,0,1
2877,0,0,1,3,2,0
2876,0,1,2,1,1,1
2875,0,0,1,3,1,1
2874,2,1,2,0,1,0
2873,1,1,0,1,1,2
2872,2,0,1,1,2,0
2871,1,3,1,0,0,1
2870,1,0,3,1,0,1
2869,0,1,2,1,1,1
2868,1,2,2,1,0,0
2867,0,2,2,1,0,1
2866,3,0,2,0,1,0
2865,2,1,1,1,1,0
2864,2,1,0,1,1,1
2863,0,1,0,2,3,0
2862,1,1,0,0,4,0
2861,1,2,1,1,1,0
2860,1,0,2,2,0,1
2859,2,0,3,1,0,0
2858,1,0,1,1,0,3
2857,3,0,1,0,0,2
2856,1,2,0,2,0,1
2855,0,2,1,1,1,1
2854,2,1,1,0,2,0
2853,0,0,0,1,4,1
2852,1,1,1,1,1,1
2851,2,2,1,0,1,0
2850,0,2,0,0,2,2
2849,0,2,1,0,2,1
2848,1,3,0,1,1,0
2847,1,0,1,1,1,2
2846,0,3,0,1,1,1
2845,1,1,1,0,3,0
2844,0,1,2,1,1,1
2843,0,2,1,2,1,0
2842,0,2,1,3,0,0
2841,1,0,0,2,3,0
2840,0,1,1,1,1,2
2839,3,0,2,0,0,1
2838,3,0,1,1,0,1
2837,0,0,3,0,3,0
2836,0,3,1,1,1,0
2835,1,0,1,0,3,1
2834,0,0,2,3,0,1
2833,1,1,1,1,1,1
2832,1,1,1,3,0,0
2831,2,1,0,1,1,1
2830,3,1,0,1,1,0
2829,0,3,1,1,1,0
2828,0,0,3,1,2,0
2827,2,0,0,1,2,1
2826,2,2,0,0,1,1
2825,0,1,1,0,0,4
2824,0,2,0,2,0,2
2823,1,0,1,2,2,0
2822,2,0,0,1,3,0
2821,2,1,0,0,2,1
2820,0,1,1,3,0,1
2819,1,1,1,2,0,1
2818,1,3,0,0,2,0
2817,1,1,2,0,1,1
2816,0,3,2,0,0,1
2815,1,0,2,2,1,0
2814,1,0,2,1,1,1
2813,2,1,1,0,0,2
2812,1,2,1,1,0,1
2811,2,1,2,1,0,0
2810,0,1,1,1,1,2
2809,0,0,0,3,2,1
2808,2,1,2,0,1,0
2807,1,1,1,1,1,1
2806,1,3,1,1,0,0
2805,1,1,1,2,1,0
2804,1,1,1,1,1,1
2803,1,2,0,0,2,1
2802,2,0,0,2,1,1
2801,2,2,0,2,0,0
2800,0,1,1,1,1,2
2799,1,0,1,2,0,2
2798,2,1,1,0,1,1
2797,2,1,2,1,0,0
2796,2,1,0,1,0,2
2795,1,2,1,2,0,0
2794,1,0,1,1,1,2
2793,0,1,0,2,1,2
2792,3,0,2,0,0,1
2791,0,1,2,2,1,0
2790,2,1,3,0,0,0
2789,0,3,1,0,2,0
2788,1,2,1,1,0,1
2787,0,1,1,3,0,1
2786,0,3,1,0,2,0
2785,3,2,0,0,0,1
2784,3,2,0,1,0,0
2783,1,2,0,1,0,2
2782,1,1,1,1,2,0
2781,0,2,1,1,2,0
2780,1,1,1,0,2,1
2779,1,0,5,0,0,0
2778,1,0,2,0,2,1
2777,1,2,0,2,0,1
2776,3,1,0,2,0,0
2775,2,0,0,1,1,2
2774,2,1,0,2,1,0
2773,1,1,0,0,3,1
2772,2,1,1,0,2,0
2771,1,1,0,1,1,2
2770,3,1,0,0,0,2
2769,0,2,0,3,1,0
2768,0,0,3,1,0,2
2767,1,0,2,3,0,0
2766,0,2,2,0,1,1
2765,1,1,2,1,0,1
2764,1,1,3,0,1,0
2763,1,1,1,3,0,0
2762,1,0,1,0,0,4
2761,1,0,1,2,1,1
2760,1,1,1,2,1,0
2759,2,1,1,2,0,0
2758,1,1,0,1,2,1
2757,1,2,0,1,0,2
2756,1,2,0,1,1,1
2755,1,0,2,2,1,0
2754,2,1,0,3,0,0
2753,3,1,0,1,0,1
2752,0,0,1,2,2,1
2751,1,1,1,1,1,1
2750,2,0,1,2,1,0
2749,1,0,1,2,1,1
2748,1,1,2,1,1,0
2747,2,1,1,1,0,1
2746,1,0,1,2,1,1
2745,1,1,3,0,1,0
2744,1,0,1,3,0,1
2743,0,1,3,1,0,1
2742,0,3,1,1,1,0
2741,1,0,1,2,2,0
2740,1,2,1,1,0,1
2739,0,2,2,1,1,0
2738,1,1,2,1,1,0
2737,0,1,0,1,1,3
2736,0,1,1,1,1,2
2735,1,1,0,0,2,2
2734,3,1,1,0,1,0
2733,1,2,1,2,0,0
2732,0,2,0,2,1,1
2731,0,1,0,2,2,1
2730,0,2,0,2,1,1
2729,1,1,0,2,1,1
2728,0,2,2,0,2,0
2727,0,1,1,1,3,0
2726,2,1,1,1,0,1
2725,0,2,1,2,0,1
2724,2,1,1,1,1,0
2723,0,2,2,0,1,1
2722,1,2,0,0,1,2
2721,1,1,1,2,1,0
2720,3,1,1,0,1,0
2719,2,0,0,1,1,2
2718,0,0,2,2,0,2
2717,1,1,1,1,2,0
2716,1,1,1,0,2,1
2715,2,0,0,1,2,1
2714,0,0,1,1,2,2
2713,0,2,0,1,2,1
2712,1,1,0,2,2,0
2711,0,1,0,4,0,1
2710,0,3,2,1,0,0
2709,2,0,1,0,3,0
2708,1,0,1,1,2,1
2707,2,1,2,0,1,0
2706,2,0,1,1,0,2
2705,2,1,0,0,1,2
2704,0,0,2,1,1,2
2703,0,3,2,0,0,1
2702,0,1,3,0,2,0
2701,0,3,1,2,0,0
2700,0,2,1,0,3,0
2699,0,0,2,1,2,1
2698,0,1,2,3,0,0
2697,2,0,1,1,2,0
2696,0,2,3,0,1,0
2695,0,0,2,1,2,1
2694,1,1,1,1,2,0
2693,1,1,1,2,0,1
2692,2,1,1,1,1,0
2691,1,0,0,1,3,1
2690,0,2,1,1,1,1
2689,2,1,2,0,1,0
2688,2,1,2,0,1,0
2687,2,0,2,1,1,0
2686,1,1,1,2,0,1
2685,1,1,1,1,2,0
2684,0,1,2,1,1,1
2683,0,1,1,0,1,3
2682,0,1,2,1,1,1
2681,0,1,2,0,1,2
2680,1,2,1,0,1,1
2679,0,1,1,2,2,0
2678,1,3,1,0,1,0
2677,0,1,2,3,0,0
2676,2,2,1,0,1,0
2675,1,1,1,1,2,0
2674,0,1,0,1,3,1
2673,0,0,2,2,2,0
2672,0,0,0,2,4,0
2671,2,2,0,0,1,1
2670,1,0,1,2,1,1
2669,0,0,1,2,0,3
2668,2,2,1,1,0,0
2667,3,0,1,1,1,0
2666,2,0,2,1,1,0
2665,2,0,2,1,1,0
2664,0,1,2,1,1,1
2663,1,0,1,2,0,2
2662,0,0,2,3,1,0
2661,2,0,1,1,2,0
2660,1,2,1,1,1,0
2659,0,2,2,1,0,1
2658,0,0,1,1,3,1
2657,0,1,1,2,0,2
2656,2,2,1,0,1,0
2655,0,1,1,1,1,2
2654,4,0,1,1,0,0
2653,0,1,1,2,1,1
2652,0,2,3,0,1,0
2651,1,2,1,1,0,1
2650,0,2,2,1,0,1
2649,0,3,1,1,1,0
2648,1,1,0,0,2,2
2647,0,1,1,3,1,0
2646,1,2,2,0,1,0
2645,1,0,1,2,1,1
2644,1,1,2,0,1,1
2643,0,3,1,1,1,0
2642,1,0,0,2,1,2
2641,1,2,1,1,1,0
2640,0,2,1,2,1,0
2639,0,0,1,2,2,1
2638,0,2,2,1,1,0
2637,0,2,0,4,0,0
2636,1,1,1,3,0,0
2635,2,1,0,0,2,1
2634,1,2,0,0,1,2
2633,2,2,0,2,0,0
2632,1,0,1,1,2,1
2631,2,1,0,1,1,1
2630,1,1,0,0,2,2
2629,1,0,3,0,1,1
2628,1,1,0,2,1,1
2627,0,1,0,3,0,2
2626,0,1,1,2,1,1
2625,0,1,2,1,1,1
2624,2,0,1,1,1,1
2623,2,1,0,0,1,2
2622,1,0,1,1,1,2
2621,2,2,0,1,1,0
2620,2,0,2,1,0,1
2619,1,1,2,1,0,1
2618,1,0,2,1,1,1
2617,0,0,3,1,1,1
2616,1,1,1,1,1,1
2615,3,0,2,0,0,1
2614,1,0,1,2,0,2
2613,0,2,0,1,2,1
2612,1,1,1,1,2,0
2611,2,1,1,1,0,1
2610,1,0,1,3,0,1
2609,0,1,1,3,1,0
2608,2,0,1,0,2,1
2607,0,2,0,1,0,3
2606,0,1,2,1,1,1
2605,3,1,1,0,0,1
2604,3,1,1,0,0,1
2603,2,2,1,1,0,0
2602,3,0,0,2,0,1
2601,0,1,1,0,1,3
2600,2,1,0,0,0,3
2599,0,0,3,0,3,0
2598,1,0,0,1,3,1
2597,1,1,0,2,1,1
2596,2,0,0,3,1,0
2595,1,1,1,2,0,1
2594,3,0,3,0,0,0
2593,1,1,0,1,3,0
2592,0,3,2,1,0,0
2591,0,2,1,1,1,1
2590,1,2,0,1,2,0
2589,2,1,0,2,1,0
2588,1,2,0,0,2,1
2587,1,0,1,1,2,1
2586,0,1,4,0,1,0
2585,2,1,1,1,0,1
2584,2,0,1,0,2,1
2583,0,2,2,0,2,0
2582,2,0,0,2,1,1
2581,2,1,1,0,0,2
2580,1,0,3,0,1,1
2579,1,1,0,0,3,1
2578,0,0,1,3,0,2
2577,2,1,1,0,1,1
2576,1,1,1,0,3,0
2575,1,3,0,2,0,0
2574,2,1,1,0,1,1
2573,0,0,2,1,2,1
2572,1,2,1,0,1,1
2571,0,1,3,1,1,0
2570,1,2,1,0,1,1
2569,3,0,1,0,1,1
2568,0,1,2,1,1,1
2567,0,3,0,1,1,1
2566,0,3,1,0,1,1
2565,1,0,1,2,1,1
2564,1,2,0,1,1,1
2563,0,1,1,2,2,0
2562,2,2,1,0,0,1
2561,0,1,1,1,3,0
2560,1,2,1,0,2,0
2559,2,1,0,1,2,0
2558,1,2,0,2,0,1
2557,1,1,3,1,0,0
2556,1,1,2,2,0,0
2555,1,0,2,1,1,1
2554,1,1,2,2,0,0
2553,0,0,1,1,2,2
2552,2,1,1,2,0,0
2551,2,0,1,0,1,2
2550,1,1,0,2,2,0
2549,1,2,1,0,2,0
2548,1,1,0,1,1,2
2547,2,0,2,0,1,1
2546,1,0,1,3,1,0
2545,1,1,2,1,1,0
2544,0,2,0,1,2,1
2543,1,1,2,0,0,2
2542,2,2,0,1,1,0
2541,1,1,2,0,1,1
2540,3,0,1,0,1,1
2539,0,3,1,0,1,1
2538,0,0,4,1,1,0
2537,1,2,0,2,1,0
2536,1,0,3,0,0,2
2535,2,0,1,1,1,1
2534,1,1,1,1,2,0
2533,2,0,1,0,1,2
2532,1,1,2,1,0,1
2531,2,1,0,1,1,1
2530,1,1,2,0,1,1
2529,2,2,1,0,1,0
2528,1,1,1,3,0,0
2527,1,2,1,0,1,1
2526,1,0,2,2,0,1
2525,1,1,1,1,1,1
2524,2,0,1,1,1,1
2523,1,1,0,0,3,1
2522,3,0,1,1,0,1
2521,0,0,1,2,2,1
2520,2,0,1,0,2,1
2519,0,0,1,1,2,2
2518,1,0,2,2,0,1
2517,1,0,2,0,1,2
2516,2,2,1,0,1,0
2515,1,2,2,1,0,0
2514,0,3,1,0,2,0
2513,0,2,2,2,0,0
2512,0,1,1,1,1,2
2511,0,2,3,0,0,1
2510,0,1,0,2,2,1
2509,0,1,3,2,0,0
2508,2,1,0,1,1,1
2507,2,1,1,1,1,0
2506,2,2,1,1,0,0
2505,1,0,1,1,1,2
2504,2,2,2,0,0,0
2503,1,0,3,0,1,1
2502,1,1,1,2,0,1
2501,0,0,3,0,1,2
2500,1,1,1,1,2,0
2499,1,1,1,1,2,0
2498,1,0,2,1,1,1
2497,1,1,1,0,1,2
2496,1,1,1,2,1,0
2495,1,1,1,0,2,1
2494,1,1,0,0,4,0
2493,1,0,0,1,2,2
2492,1,2,0,0,0,3
2491,2,1,1,0,1,1
2490,2,0,4,0,0,0
2489,0,0,2,1,2,1
2488,0,0,1,2,2,1
2487,0,1,1,1,1,2
2486,2,0,1,3,0,0
2485,0,1,1,3,1,0
2484,1,1,0,1,2,1
2483,1,1,1,1,0,2
2482,0,0,1,2,2,1
2481,1,0,2,1,1,1
2480,1,2,0,1,1,1
2479,1,1,0,2,2,0
2478,0,1,2,1,0,2
2477,2,3,0,1,0,0
2476,0,1,1,1,3,0
2475,0,2,2,0,0,2
2474,1,2,0,1,2,0
2473,1,1,0,1,3,0
2472,1,0,1,2,1,1
2471,1,2,0,2,1,0
2470,2,2,0,1,1,0
2469,2,1,0,1,2,0
2468,2,1,1,1,0,1
2467,0,2,0,2,1,1
2466,2,2,0,1,1,0
2465,1,0,1,1,1,2
2464,0,2,0,1,2,1
2463,2,1,2,1,0,0
2462,2,2,1,1,0,0
2461,2,1,1,1,1,0
2460,0,1,1,3,1,0
2459,2,0,1,0,1,2
2458,1,3,2,0,0,0
2457,0,0,2,2,2,0
2456,1,3,2,0,0,0
2455,1,1,1,1,1,1
2454,2,1,1,1,0,1
2453,1,1,1,1,1,1
2452,1,1,2,0,1,1
2451,0,0,1,2,2,1
2450,2,1,2,1,0,0
2449,2,1,0,1,2,0
2448,0,1,0,3,0,2
2447,3,0,1,1,0,1
2446,1,1,0,2,1,1
2445,0,2,0,0,1,3
2444,0,0,2,1,1,2
2443,1,1,3,1,0,0
2442,1,2,0,0,2,1
2441,2,1,0,0,2,1
2440,1,1,1,1,1,1
2439,0,0,2,3,1,0
2438,2,1,0,2,0,1
2437,2,2,0,0,0,2
2436,2,1,1,0,2,0
2435,2,0,1,1,0,2
2434,1,1,0,1,2,1
2433,2,1,0,2,1,0
2432,0,2,0,1,2,1
2431,2,1,2,0,1,0
2430,1,1,2,2,0,0
2429,0,2,1,1,2,0
2428,2,0,0,1,1,2
2427,1,0,2,2,1,0
2426,1,0,2,1,1,1
2425,1,2,1,1,1,0
2424,0,1,1,3,1,0
2423,1,1,3,0,0,1
2422,0,1,3,2,0,0
2421,1,3,0,0,1,1
2420,0,1,2,1,0,2
2419,1,0,1,2,1,1
2418,0,2,1,1,2,0
2417,0,3,1,1,1,0
2416,0,2,0,1,1,2
2415,0,2,2,0,1,1
2414,0,2,2,2,0,0
2413,2,1,1,2,0,0
2412,2,0,0,0,1,3
2411,2,0,1,0,2,1
2410,0,3,1,1,1,0
2409,2,0,1,2,0,1
2408,1,0,2,1,2,0
2407,2,2,0,1,0,1
2406,2,1,0,1,1,1
2405,0,1,1,0,2,2
2404,2,0,2,0,1,1
2403,1,2,1,1,1,0
2402,0,1,1,2,1,1
2401,0,2,2,0,1,1
2400,3,1,1,1,0,0
2399,2,1,2,0,0,1
2398,1,0,1,0,2,2
2397,0,1,2,2,1,0
2396,2,0,1,1,1,1
2395,1,0,1,2,1,1
2394,1,1,1,0,1,2
2393,1,0,0,3,1,1
2392,1,0,2,0,3,0
2391,2,2,1,1,0,0
2390,1,0,0,2,2,1
2389,1,2,0,1,1,1
2388,0,2,1,1,2,0
2387,1,3,0,0,0,2
2386,0,1,3,0,2,0
2385,0,2,0,2,1,1
2384,1,1,2,1,1,0
2383,0,1,2,1,2,0
2382,2,1,0,1,1,1
2381,0,0,4,0,2,0
2380,3,0,2,0,1,0
2379,0,1,2,1,1,1
2378,0,2,3,1,0,0
2377,2,0,2,2,0,0
2376,2,0,1,0,2,1
2375,1,1,1,2,0,1
2374,1,2,0,1,2,0
2373,1,1,1,0,1,2
2372,1,1,1,2,1,0
2371,2,1,2,1,0,0
,0.974750831,1.041196013,1.087043189,1.03654485,1.095681063,0.764784053
