Condición,Year,Marca,version,Title,Modelo,id,precio,Image_URL,Color,Color_int,Cilindros,km,Transmisión,Combustible,Características,Seguridad,Content,Tipo,year,Tipo_unidad,Puertas
Usado,2023,Nissan,Chasis TM,Nissan- Np 300,Np 300,1472,417504,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/282d11a7c659448a802134ba66ce4e14.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/282d11a7c659448a802134ba66ce4e14.jpeg",Blanco,Negro,,0,Manual,Gasolina,"Luces de halógeno; Luces de niebla; 2 puertas; Aire acondicionado; Radio, AM/FM, USB; AGENDA TU PRUEBA DE MANEJO",,,,,,
Usado,2023,Nissan,Chasis TM,Nissan- Np 300,Np 300,1473,417504,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/5a3aa602b83142ab924e94b4fbacebdc.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/5a3aa602b83142ab924e94b4fbacebdc.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/89aef197b98947e1bf0e866934a4ac93.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/3c0e33fa4a094a84802ef3577a95960a.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/d490f293011e4ef68f52edbaf8a87a0e.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/ecc301d3358542d5b2d450bf0aa62a6b.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/d9668d3c85384aa1a2ee094ba3d89e55.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/bd9e116b7fdf4878875656eabb8a0420.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/b6743bb2650e4b7fbd30298c1e617118.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/9eec392dcbb348e7a27707f0425f141e.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/b3049012c72948c4b32eb29c89f8f99c.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/009f8d73713f40a5b1a1e7b7feb450a3.jpeg",Blanco,Negro,,0,Manual,Gasolina,"Luces de halógeno; Luces de niebla; 2 puertas; Aire acondicionado; Radio, AM/FM, USB; AGENDA TU PRUEBA DE MANEJO",,,,,,
Usado,2023,Nissan,TM,Nissan- Np 300,Np 300,1474,427104,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/ede1cc49fb6e45609e292dc8f89c6e8c.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/ede1cc49fb6e45609e292dc8f89c6e8c.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/8b30fec6972944e4a7f55b9a0c6f18fa.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/ca8b02876b74459290e4afb257426de3.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/ddc5223c5d75419e8ff81719853ef372.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/dd93aeaa1aab4b46b8f8aa98ac849362.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/e77863a88ee3484dae78b0b846863a45.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/84b91cc8ba5b475b9b54a42dd49bf104.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/b013bbe4bed3495a85bf42812f2c3ca0.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/a657ba016a964552aac95fb7210a485a.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/cce2b269dfe14d70af05e5e046e7a052.jpeg",Rojo,Negro,,0,Manual,Gasolina,2 puertas; Aire acondicionado; AGENDA TU PRUEBA DE MANEJO,,,,,,
Usado,2023,Nissan,TM,Nissan- Np 300,Np 300,1475,427104,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/5287eec18e704cca8fbb553a28bf4616.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/5287eec18e704cca8fbb553a28bf4616.jpeg",Blanco,Negro,,0,Manual,Gasolina,2 puertas; Aire acondicionado; AGENDA TU PRUEBA DE MANEJO,,,,,,
Usado,2023,Nissan,ADVANCE CVT,Nissan- Kicks -,Kicks,1476,442464,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/74da45c6fc1c4ed396e04b4f5a151cd6.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/74da45c6fc1c4ed396e04b4f5a151cd6.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/4530247d4fb24ca4bd17e33c840fde4e.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/7ad0a0e1889e45dd8af3f19eaecb455d.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/6a487fef8eeb418780659891864d653f.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/b8283fb25cc84ec7b44986afb4b6521d.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/d0179aaf89e443efb6c4a15ef03c2e8e.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/30de6e7b261d4ca5bd111061b22efa24.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/05b0674a14fa4edcbce02cb444092c72.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/5147dff6190e47d2905de9b850034e90.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/89df6015920c4d44a8b7f3ba47ec1be3.jpeg",Gris,Negro,,0,Automática,Gasolina,"Radio, AM/FM; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO",Bolsas de Aire,,,,,
Usado,2024,Nissan,Advance CVT,Nissan- Sentra -,Sentra,1477,445344,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/974abd69a7cd4e03924d60e9b18b0464.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/974abd69a7cd4e03924d60e9b18b0464.jpeg",Plata,Negro,,0,Automática,Gasolina,"Llave inteligente; Luces de niebla; Aire acondicionado; Radio, AM/FM, USB; ABS; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO",ABS; Bolsas de Aire,,,,,
Usado,2024,Nissan,Advance CVT,Nissan- Sentra -,Sentra,1478,445344,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/5d19620113f042e8a1b00d4f0ae32947.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/5d19620113f042e8a1b00d4f0ae32947.jpeg",Rojo,Negro,,0,Automática,Gasolina,"Llave inteligente; Luces de niebla; Aire acondicionado; Radio, AM/FM, USB; ABS; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO",ABS; Bolsas de Aire,,,,,
Usado,2024,Nissan,Advance CVT,Nissan- Sentra -,Sentra,1479,445344,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/e5ccd2c8674647ac915690cdb9d55782.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/e5ccd2c8674647ac915690cdb9d55782.jpeg",Rojo,Negro,,0,Automática,Gasolina,"Llave inteligente; Luces de niebla; Aire acondicionado; Radio, AM/FM, USB; ABS; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO",ABS; Bolsas de Aire,,,,,
Usado,2023,Nissan,TA,Nissan- Kicks -,Kicks,1480,484704,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/f740f2ab1a9940fcb0246bcc2e4fafae.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/f740f2ab1a9940fcb0246bcc2e4fafae.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/442186b2212a46b0b56d61607110c672.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/48aeb54cb8f44124add531c7b2941386.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/2c34ffe1907f46258243cbcc66f2120f.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/4bc7b7a124dd4ae88beed2224020d4b0.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/c2984dcd9fee4f5d8209604b3fca6ed6.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/6ba80f8198e24f2694d5abf1f2237b85.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/50a3b1dbcde24d8a8ab6b0a0b803d9cd.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/cf3b8be835bc4c0a95de3729739fa910.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/627c314480fc400288f1e99dfcc081f1.jpeg",Azul,Negro,,0,Automática,Gasolina,5 puertas; Aire acondicionado; 5 pasajeros; AGENDA TU PRUEBA DE MANEJO,,,,,,
Usado,2024,Nissan,Sense TM,Nissan- March -,March,1481,261984,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/5d81938c6ad844bdaaddc7b764b1666d.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/5d81938c6ad844bdaaddc7b764b1666d.jpeg",Blanco,Negro,,0,Manual,Gasolina,"Control de crucero; Limpiador trasero; Radio, AM/FM; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO",Bolsas de Aire,,,,,
Usado,2023,Nissan,Sense TA,Nissan- March -,March,1482,270624,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/b917052902ef463b819f09498ff98307.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/b917052902ef463b819f09498ff98307.jpeg",Blanco,Negro,,0,Automática,Gasolina,"Control de crucero; Aire acondicionado; Radio, AM/FM, USB; ABS; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO",ABS; Bolsas de Aire,,,,,
Usado,2023,Nissan,Sense MT,Nissan- Versa -,Versa,1483,315744,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/2756c10fd2db45918a1ff5df63687273.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/2756c10fd2db45918a1ff5df63687273.jpeg",Blanco,Negro,,0,Manual,Gasolina,Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO,Bolsas de Aire,,,,,
